nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Teh Kotak Hijau,Produk Minuman,Karton,Suhu Ruang,0,145,0,149,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Almond,Produk Olahan Susu,Kardus,Pendingin,1,209,1,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Nanas,Produk Minuman,Karton,Pendingin,1,161,6,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,0,255,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,276,4,10,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,306,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Tarik,Produk Minuman,Karton,Pendingin,1,30,6,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Keju Cream Cheese,Produk Olahan Susu,Kardus,Pendingin,0,502,0,29,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,68,4,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,1,130,3,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,78,0,82,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,1,218,1,29,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,148,0,145,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,0,237,0,238,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Mangga,Produk Minuman,Karton,Pendingin,1,104,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,20,5,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,64,0,62,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,9,0,11,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,69,10,11,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Suhu Ruang,0,326,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,159,0,157,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,128,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,0,24,0,27,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,159,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,321,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kedelai,Produk Olahan Susu,Karton,Pendingin,1,218,9,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sarden Tomat,Produk Kaleng,Kaleng,Suhu Ruang,1,230,6,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,0,40,0,44,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,138,5,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,61,0,56,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,0,47,12,-5,Kadaluwarsa,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,55,0,-50,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,0,171,0,170,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Buah Cocktail,Produk Kaleng,Kaleng,Suhu Ruang,0,451,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,21,7,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,495,2,12,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,0,30,7,-4,Kadaluwarsa,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,0,496,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,20,0,22,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,0,284,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,501,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Oat,Produk Kering,Karton,Suhu Ruang,0,216,0,214,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Skim,Produk Olahan Susu,Karton,Suhu Ruang,0,478,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,17,0,13,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,51,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,209,12,11,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,271,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Tempe,Produk Protein,Plastik,Pembeku,1,56,8,-5,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,294,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,347,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,1,18,12,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,0,139,0,135,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Tempe,Produk Protein,Plastik,Pembeku,1,17,5,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,240,0,236,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Buah Cocktail,Produk Kaleng,Kaleng,Suhu Ruang,0,222,0,221,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,236,12,15,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,1,315,5,-3,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Jus Jeruk,Produk Minuman,Karton,Pendingin,1,43,6,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,28,0,27,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,1,24,3,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,1,373,12,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Udang,Produk Protein,Plastik,Pembeku,0,43,0,48,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,60,12,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Low Fat,Produk Olahan Susu,Karton,Pendingin,0,48,0,43,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,241,6,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,163,3,0,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,459,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,58,7,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,0,240,0,238,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,0,115,0,120,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oatmeal,Produk Kering,Plastik,Suhu Ruang,1,126,2,5,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Nugget Tempe,Produk Protein,Plastik,Pembeku,1,26,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,1,54,1,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,0,145,0,143,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Goreng,Produk Kering,Plastik,Suhu Ruang,1,101,1,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,136,12,2,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Persik Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,183,0,180,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Granola,Produk Kering,Karton,Suhu Ruang,1,330,9,21,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Kotak Hijau,Produk Minuman,Karton,Suhu Ruang,0,144,0,149,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,1,10,5,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sarden Tomat,Produk Kaleng,Kaleng,Suhu Ruang,1,505,3,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,108,0,106,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,111,5,0,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,5,7,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,0,160,0,159,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,0,39,0,37,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Ayam,Produk Protein,Plastik,Pembeku,1,134,1,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,1,14,3,0,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,310,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,0,8,0,9,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,290,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,0,4,0,1,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,347,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,191,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,174,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,182,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Sirsak,Produk Minuman,Karton,Pendingin,0,87,0,84,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,1,46,1,6,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Sirsak,Produk Minuman,Karton,Pendingin,0,172,0,168,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,169,6,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,1,180,5,2,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sosis Frozen,Produk Protein,Plastik,Pembeku,0,144,0,141,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,1,349,12,18,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Jus Jambu,Produk Minuman,Karton,Pendingin,0,0,0,97,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,134,0,133,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,0,128,0,127,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ayam,Produk Protein,Plastik,Pembeku,1,9,8,-5,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Biskuit Digestive,Produk Kering,Plastik,Suhu Ruang,1,246,12,-4,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Edam,Produk Olahan Susu,Plastik,Pendingin,0,89,0,93,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,1,117,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,296,0,-50,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,176,0,179,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Ikan,Produk Protein,Plastik,Pembeku,1,172,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,184,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,0,351,4,-3,Kadaluwarsa,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,0,329,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,28,4,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Sayuran,Produk Protein,Plastik,Pembeku,1,83,4,-1,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,0,110,0,113,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,1,4,4,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sereal Granola,Produk Kering,Karton,Suhu Ruang,1,71,12,13,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,1,498,4,-3,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,65,8,-5,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,1,501,10,20,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,175,0,174,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sarden Tomat,Produk Kaleng,Kaleng,Suhu Ruang,1,236,3,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,4,1,6,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Apel,Produk Minuman,Karton,Pendingin,1,172,9,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Ikan Tuna,Produk Kaleng,Kaleng,Suhu Ruang,1,501,1,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,92,9,5,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,65,9,-4,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,0,0,0,1,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,80,0,75,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,94,0,90,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,1,504,1,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,1,258,8,22,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,12,8,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,23,0,21,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Teh Botol,Produk Minuman,Botol Kaca,Suhu Ruang,1,158,8,-5,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,0,380,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,308,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,201,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,0,427,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Almond,Produk Olahan Susu,Karton,Pendingin,0,136,0,131,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,36,0,41,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,44,0,49,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Jus Nanas,Produk Minuman,Karton,Pendingin,1,143,3,2,Segera,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,355,12,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,10,0,5,Segera,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,1,217,5,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
